culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
0.16727272727272732,0.7380952380952381,0.3559322033898305,0.20833333333333334
0.26181818181818167,0.892857142857143,0.3050847457627119,0.2638888888888889
0.698181818181818,0.8095238095238093,0.4406779661016949,0.2777777777777778
0.5272727272727272,0.5595238095238096,0.3559322033898305,0.3055555555555556
0.7127272727272728,0.8571428571428572,0.3728813559322034,0.2986111111111111
0.6763636363636364,0.22619047619047622,0.864406779661017,0.7916666666666666
0.5672727272727274,0.22619047619047622,0.7457627118644068,0.5694444444444444
0.5199999999999999,0.2976190476190476,0.8305084745762712,0.6388888888888888
0.34181818181818174,0.6428571428571429,0.4915254237288136,0.3611111111111111
0.5236363636363636,0.5714285714285713,0.3389830508474576,0.2222222222222222
